query,is_knowable,label,csv_mean_entropy,semantic_entropy,num_clusters,cluster_sizes,num_samples,gen_time_s,cluster_time_s,response_0,response_1,response_2
In what year did the Titanic sink?,True,0,0.0681118278276807,-1.000088900581841e-12,1,[10],10,5.752977132797241,0.011248350143432617,The Titanic sank in the year 1912.,The Titanic sank in the year 1912.,The Titanic sank in the year 1912.
What ancient wonder was located in Alexandria?,True,0,0.188504889228215,-1.000088900581841e-12,1,[10],10,54.178794145584106,0.012839317321777344,"Alexandria did not host one of the original Seven Wonders of the Ancient World. However, it is famously associated with the **Library of Alexandria**, which was one of the most significant intellectual centers of the ancient world. While not one of the Seven Wonders, the Library of Alexandria was re","There was no ancient wonder located in Alexandria. The Seven Wonders of the Ancient World include the Great Pyramid of Giza, the Hanging Gardens of Babylon, the Temple of Artemis at Ephesus, the Statue of Zeus at Olympia, the Mausoleum at Halicarnassus, the Lighthouse of Alexandria, and the Colossus","Alexandria did not house one of the original Seven Wonders of the Ancient World. The Seven Wonders were located across the ancient world, such as the Great Pyramid of Giza, the Hanging Gardens of Babylon, and the Colossus of Rhodes. However, Alexandria is famous for the **Library of Alexandria**, wh"
Who invented the telephone?,True,0,0.1476309781129733,-1.000088900581841e-12,1,[10],10,26.03630256652832,0.012060165405273438,"The telephone was invented by Alexander Graham Bell. He received the first patent for the telephone on March 7, 1876. While others, like Elisha Gray and Antonio Meucci, contributed to the development of telephony, Bell is credited with inventing the first practical telephone.","The telephone was invented by Alexander Graham Bell. He received the first U.S. patent for the telephone on March 7, 1876. While others, like Elisha Gray and Antonio Meucci, contributed to the development of telecommunication technology, Bell is widely credited with inventing the first practical tel","The telephone was invented by Alexander Graham Bell. He received the first U.S. patent for the telephone on March 7, 1876. While others, like Elisha Gray and Thomas Edison, made significant contributions to telephony, Bell is credited with the invention of the first practical telephone."
What empire built the Colosseum in Rome?,True,0,0.1291300769501897,-1.000088900581841e-12,1,[10],10,23.219210863113403,0.013448476791381836,"The Colosseum in Rome was built by the Roman Empire, specifically during the reign of Emperor Vespasian, who ordered its construction beginning in 70–72 AD. It was completed under his successor, Emperor Titus.","The Colosseum in Rome was built by the Roman Empire, specifically during the reign of Emperor Vespasian, who ordered its construction starting in 70–72 AD. It was completed by his son, Emperor Titus, in 80 AD.","The Colosseum in Rome was built by the Roman Empire, specifically during the reign of Emperor Vespasian, who ordered its construction starting in 70–72 AD. It was completed under his son, Emperor Titus, in 80 AD."
What year did the American Civil War begin?,True,0,2.47827449797925e-05,-1.000088900581841e-12,1,[10],10,5.86747670173645,0.010797739028930664,The American Civil War began in 1861.,The American Civil War began in 1861.,The American Civil War began in 1861.
Who discovered penicillin?,True,0,0.0123188308074792,-1.000088900581841e-12,1,[10],10,6.1659955978393555,0.012197494506835938,Alexander Fleming discovered penicillin in 1929.,Alexander Fleming discovered penicillin in 1929.,Alexander Fleming discovered penicillin in 1929.
What document begins with 'We the People'?,True,0,0.0490361262456187,-1.000088900581841e-12,1,[10],10,5.631658315658569,0.012585878372192383,"The U.S. Constitution begins with ""We the People.""","The U.S. Constitution begins with ""We the People.""","The U.S. Constitution begins with ""We the People."""
In what city was the Declaration of Independence signed?,True,0,0.0095888630904029,-1.000088900581841e-12,1,[10],10,5.281079292297363,0.01100611686706543,"The Declaration of Independence was signed in Philadelphia, Pennsylvania.","The Declaration of Independence was signed in Philadelphia, Pennsylvania.","The Declaration of Independence was signed in Philadelphia, Pennsylvania."
What year did humans first land on the Moon?,True,0,0.0884953328955484,-1.000088900581841e-12,1,[10],10,17.360028505325317,0.012244701385498047,"Humans first landed on the Moon in 1969. Specifically, the Apollo 11 mission landed on the Moon on July 20, 1969.","Humans first landed on the Moon in 1969. Specifically, the Apollo 11 mission landed on July 20, 1969.","Humans first landed on the Moon in 1969. The Apollo 11 mission successfully landed on the Moon on July 20, 1969."
What is 2 + 2?,True,0,0.000213001992995,-1.000088900581841e-12,1,[10],10,4.018494606018066,0.012060403823852539,2 + 2 = 4.,2 + 2 = 4.,2 + 2 = 4.
What is the square root of 144?,True,0,0.0198836730046694,-1.000088900581841e-12,1,[10],10,6.571607351303101,0.011528491973876953,The square root of 144 is **12**.,The square root of 144 is **12**.,The square root of 144 is **12**.
What is the value of pi to two decimal places?,True,0,0.0331001143063812,-1.000088900581841e-12,1,[10],10,7.288725852966309,0.012012720108032227,The value of pi to two decimal places is 3.14.,The value of pi to two decimal places is 3.14.,The value of pi to two decimal places is 3.14.
How many days are in a week?,True,0,0.0163838997949038,-1.000088900581841e-12,1,[10],10,4.459698915481567,0.009708166122436523,There are 7 days in a week.,There are 7 days in a week.,There are 7 days in a week.
What is the smallest prime number?,True,0,0.0006891988787271,-1.000088900581841e-12,1,[10],10,4.408968925476074,0.010459661483764648,The smallest prime number is **2**.,The smallest prime number is **2**.,The smallest prime number is **2**.
How many sides does a hexagon have?,True,0,7.222004211612555e-06,-1.000088900581841e-12,1,[10],10,4.04427695274353,0.010863780975341797,A hexagon has 6 sides.,A hexagon has 6 sides.,A hexagon has 6 sides.
What is 15% of 200?,True,0,0.0515330460950095,-1.000088900581841e-12,1,[10],10,15.888004541397095,0.011908531188964844,"15% of 200 is:

$$
0.15 \times 200 = 30
$$

Answer: **30**","15% of 200 is:

$ 0.15 \times 200 = 30 $

Answer: **30**","15% of 200 is:

$ 0.15 \times 200 = 30 $

Answer: **30**"
What is the next prime number after 7?,True,0,0.0009566831091694,-1.000088900581841e-12,1,[10],10,6.318804025650024,0.010284662246704102,The next prime number after 7 is **11**.,The next prime number after 7 is **11**.,The next prime number after 7 is **11**.
How many degrees are in a right angle?,True,0,0.0593026166455153,-1.000088900581841e-12,1,[10],10,4.9336230754852295,0.011939048767089844,A right angle measures **90 degrees**.,A right angle measures **90 degrees**.,A right angle measures **90 degrees**.
What is 12 squared?,True,0,0.0310223441410814,-1.000088900581841e-12,1,[10],10,7.952555894851685,0.012639522552490234,12 squared is $ 12 \times 12 = 144 $.,12 squared is $ 12 \times 12 = 144 $.,12 squared is $ 12 \times 12 = 144 $.
How many hours are in a day?,True,0,0.1694955367666157,0.32508297338944825,2,"[9, 1]",10,2.398982048034668,0.011709451675415039,24 hours.,24 hours.,24 hours.
How many minutes are in an hour?,True,0,0.0762532908937023,-1.000088900581841e-12,1,[10],10,4.499480962753296,0.012131214141845703,60 minutes are in an hour.,There are 60 minutes in an hour.,There are 60 minutes in an hour.
What is the sum of angles in a triangle?,True,0,0.039031209495098,-1.000088900581841e-12,1,[10],10,7.477782249450684,0.010327577590942383,The sum of angles in a triangle is **180 degrees**.,The sum of angles in a triangle is **180 degrees**.,The sum of angles in a triangle is **180 degrees**.
How many months have 31 days?,True,0,0.1028736741818434,-1.000088900581841e-12,1,[10],10,15.47609829902649,0.011336803436279297,"Seven months have 31 days.

They are: January, March, May, July, August, October, and December.","There are **7 months** that have 31 days.

They are:  
January, March, May, July, August, October, and December.  

✅ Answer: **7**","Seven months have 31 days.  

They are:  
January, March, May, July, August, October, and December.  

✅ Answer: **7**"
What is the Roman numeral for 50?,True,0,0.0467642526299894,0.32508297338944825,2,"[9, 1]",10,5.212867498397827,0.011329174041748047,The Roman numeral for 50 is **L**.,The Roman numeral for 50 is **L**.,L
What is 1000 in Roman numerals?,True,0,0.0010621050739065,-1.000088900581841e-12,1,[10],10,6.331460475921631,0.010116815567016602,1000 in Roman numerals is **M**.,1000 in Roman numerals is **M**.,1000 in Roman numerals is **M**.
How many zeros are in one million?,True,0,0.0533141554482947,-1.000088900581841e-12,1,[10],10,10.735936880111694,0.011432170867919922,"One million is written as 1,000,000.

It has **6 zeros**.","One million is written as 1,000,000.

It has **6 zeros**.","One million is written as 1,000,000.

It has **6 zeros**."
What is the least common multiple of 4 and 6?,True,0,0.0453301650804565,-1.000088900581841e-12,1,[10],10,64.06216478347778,0.011937141418457031,"To find the **least common multiple (LCM)** of 4 and 6:

### Step 1: List the multiples
- Multiples of 4: 4, 8, 12, 16, 20, 24, ...
- Multiples of 6: 6, 12, 18, 24, 30, ...

The smallest number that appears in both lists is **12**.

### Step 2: Use prime factorization (optional verification)
- 4 = 2","To find the **least common multiple (LCM)** of 4 and 6:

### Step 1: List the multiples of each number
- Multiples of 4: 4, 8, 12, 16, 20, 24, ...
- Multiples of 6: 6, 12, 18, 24, 30, ...

### Step 2: Find the smallest common multiple
The smallest number that appears in both lists is **12**.

### An","To find the **least common multiple (LCM)** of 4 and 6:

### Step 1: List the multiples
- Multiples of 4: 4, 8, 12, 16, 20, 24, ...
- Multiples of 6: 6, 12, 18, 24, 30, ...

The smallest number that appears in both lists is **12**.

### Step 2: Use prime factorization (alternative method)
- 4 = 2²
-"
What is 3 factorial?,True,0,0.0456127410977587,-1.000088900581841e-12,1,[10],10,14.659422874450684,0.013439178466796875,"3 factorial (3!) is calculated as:

3! = 3 × 2 × 1 = 6

So, 3 factorial is **6**.","3 factorial (3!) is calculated as:

3! = 3 × 2 × 1 = 6

So, 3! = **6**.","3 factorial (3!) is calculated as:

3! = 3 × 2 × 1 = 6

Answer: **6**"
How many edges does a cube have?,True,0,0.0003367769655447,-1.000088900581841e-12,1,[10],10,4.538362503051758,0.011221170425415039,A cube has **12 edges**.,A cube has **12 edges**.,A cube has **12 edges**.
What shape is wombat scat?,True,0,0.6119269480134788,-1.000088900581841e-12,1,[10],10,46.11448383331299,0.014913320541381836,"Wombat scat is typically described as **oval or pellet-like**, often resembling a **rounded, smooth, and hard pellet**. It's famously known for being **uniform in shape and size**, sometimes described as resembling a **""perfectly shaped"" or ""spherical""** piece of feces. This unique, consistent shape","Wombat scat is typically described as **round, smooth, and often resembles a ball or a bullet**. It is commonly referred to as ""wombat poo"" and is known for its **distinctive, compact, and rounded shape**, sometimes likened to a **soccer ball** or **a small, hard sphere**. This unique shape is due t","Wombat scat is typically described as **oval or rounded**, often resembling a **dome** or **ball**. It is famously known for being **smooth, compact, and sometimes shaped like a bullet or a sausage**, depending on the individual wombat and conditions. One of the most well-known facts is that wombat "
How many hearts does an octopus have?,True,0,0.0518409144428353,-1.000088900581841e-12,1,[10],10,14.500503778457642,0.011467218399047852,"An octopus has **three hearts**. Two of them pump blood to the gills, and one pumps it to the rest of the body.","An octopus has **three hearts**. Two of them pump blood to the gills, and one pumps it to the rest of the body.","An octopus has **three hearts**. Two of them pump blood to the gills, and the third pumps it to the rest of the body."
What color is a polar bear's skin?,True,0,0.1474991006630939,-1.000088900581841e-12,1,[10],10,16.146015644073486,0.01051020622253418,"A polar bear's skin is black. Although their fur appears white, the skin underneath is actually black, which helps absorb heat from the sun.","A polar bear's skin is black. Although their fur appears white, the skin beneath it is actually black, which helps absorb heat from the sun and keeps the bear warm in cold environments.","A polar bear's skin is black. Although their fur appears white, the skin underneath is actually black, which helps absorb heat from the sun to keep them warm in cold environments."
How many bones does a shark have?,True,0,0.1677723069011578,-1.000088900581841e-12,1,[10],10,20.70498561859131,0.01298666000366211,"Sharks do not have bones like humans. Instead, they have a skeleton made of cartilage, not bone. So, sharks have zero bones.","Sharks do not have bones in the same way that humans do. Instead, they have **cartilage**—a flexible, rubbery tissue—making them **cartilaginous fish**. So, sharks have **no bones**; they have **cartilage** throughout their skeletons.","Sharks do not have bones like mammals or birds. Instead, they have **cartilage**—a flexible, rubbery tissue—making them **cartilaginous fish**. So, sharks have **no bones**."
Can a lobster taste with its feet?,True,0,0.5821912486821907,-1.000088900581841e-12,1,[10],10,50.20477914810181,0.014161825180053711,"No, a lobster cannot taste with its feet. Lobsters have taste receptors primarily on their legs and antennae, but the ""feet"" (walking legs) are not used for tasting. Instead, they use their antennae and mouthparts to detect chemical signals in the water. So, while lobsters can sense taste through th","No, a lobster cannot taste with its feet. Lobsters have taste receptors primarily in their mouthparts, legs (especially the claws and walking legs), and the inside of their body, but the ""feet"" themselves are not the main organs for tasting. Instead, they use chemoreceptors in their legs to detect c","No, a lobster cannot taste with its feet. Lobsters have taste receptors primarily in their legs and claws, but these are not used to ""taste"" in the way humans do. The taste buds are located in the mouth and on the legs, where they detect chemicals in food. However, the feet themselves (the walking l"
Is a tomato a fruit or vegetable botanically?,True,0,0.1504700351946898,-1.000088900581841e-12,1,[10],10,22.62144136428833,0.012929677963256836,"Botanically, a tomato is a fruit. It develops from the ovary of a flowering plant and contains seeds, which fits the botanical definition of a fruit. However, it is classified as a vegetable in culinary use.","Botanically, a tomato is a fruit. It develops from the flower of the plant and contains seeds, which are characteristics of a fruit. However, in culinary terms, it is often classified as a vegetable.","Botanically, a tomato is a fruit.  

It develops from the ovary of a flower and contains seeds, which are characteristics of a fruit. Specifically, it is a berry.  

Although it is commonly used as a vegetable in cooking, its botanical classification is as a fruit."
What is the only mammal that can truly fly?,True,0,0.2957259380630749,-1.000088900581841e-12,1,[10],10,39.68813967704773,0.012855291366577148,"There is no mammal that can truly fly. While bats are the only mammals capable of flight, their flight is not considered ""true"" flight in the same way as birds or insects—bats use wings made of skin stretched over elongated fingers, and their flight is more gliding and maneuvering than the sustained","There is no mammal that can truly fly. While bats are the only mammals capable of flight, their flight is not ""true"" flight in the same sense as birds or insects—bats use wings made of skin stretched over elongated fingers, and their flight is more controlled and less agile than that of birds. Howev","There is no mammal that can truly fly. While bats are the only mammals capable of true flight, they do not ""fly"" in the same way as birds or insects. Bats use their wings—modified forelimbs—to fly, and they are considered the only mammals with this ability. So, the correct answer is: **bats**."
Are there more trees on Earth than stars in the Milky Way?,True,0,0.2535548103898902,-1.000088900581841e-12,1,[10],10,58.173551082611084,0.013850212097167969,"No, there are not more trees on Earth than stars in the Milky Way.

The Milky Way galaxy contains an estimated 100 to 400 billion stars.  
Earth has roughly 3 trillion trees—this number is based on estimates from global forest coverage and biodiversity studies.

So, while Earth has a vast number of ","No, there are not more trees on Earth than stars in the Milky Way.

The Milky Way galaxy contains an estimated 100 to 400 billion stars.  
In contrast, Earth has only about 3 trillion trees — a number that is significantly smaller than the number of stars in the Milky Way.

So, even though Earth has","No, there are not more trees on Earth than stars in the Milky Way.

The Milky Way contains an estimated 100 billion to 400 billion stars.  
Earth has approximately 3 trillion trees — a significant number, but still far fewer than the number of stars in the Milky Way.

So, while Earth has many trees,"
