family,model_id,category,label,query,response,tensor_entropy,tensor_logprob,tensor_top5,self_report_confidence
Llama,meta-llama/Llama-3.1-8B-Instruct,unknowable,1,What is the Fibonacci Resonance Hypothesis in cognitive science?,"The Fibonacci Resonance Hypothesis is a theory in cognitive science that proposes that the human brain processes and stores information in a hierarchical, self-similar structure, similar to the Fibonacci sequence. This sequence is a series of numbers in which each number is the sum of the two preced",0.6198756557909553,-0.26307872093735546,0.9684987157583237,0.0
Qwen,Qwen/Qwen3-4B-Instruct-2507,knowable,0,What is the capital of France?,The capital of France is Paris.,0.0002732511800151629,-2.8666711272329337e-05,0.9999999925494194,0.0
Qwen,Qwen/Qwen3-4B-Instruct-2507,knowable,0,What year did World War II end?,World War II ended in 1945.,8.241015158765946e-05,-7.4502842526413815e-06,0.9999999006589254,1.0
Qwen,Qwen/Qwen3-4B-Instruct-2507,knowable,0,What is the chemical formula for water?,The chemical formula for water is H₂O.,0.03616923189864658,-0.01303511598693128,0.9999999945813959,0.0
Qwen,Qwen/Qwen3-4B-Instruct-2507,knowable,0,Who wrote Romeo and Juliet?,William Shakespeare wrote *Romeo and Juliet*.,0.0073475140656075084,-0.0011172328058657915,0.9999966133724559,0.0
Qwen,Qwen/Qwen3-4B-Instruct-2507,knowable,0,What is the largest planet in our solar system?,The largest planet in our solar system is Jupiter.,0.0002867495361768797,-2.9290480345490654e-05,0.9999999729069796,0.0
Qwen,Qwen/Qwen3-4B-Instruct-2507,knowable,0,Who painted the Mona Lisa?,Leonardo da Vinci painted the Mona Lisa.,0.006717449130774567,-0.0012001271490078124,0.9999996304512024,0.0
Qwen,Qwen/Qwen3-4B-Instruct-2507,knowable,0,What is the speed of light approximately?,"The speed of light in a vacuum is approximately **299,792,458 meters per second**.",0.007120457719154154,-0.0012861489828760906,0.999968307989615,1.0
Qwen,Qwen/Qwen3-4B-Instruct-2507,knowable,0,What is 2 + 2?,2 + 2 = 4.,0.00021300199299509827,-2.1177857282358065e-05,0.9999999867545234,0.02
Qwen,Qwen/Qwen3-4B-Instruct-2507,knowable,0,What continent is Brazil in?,Brazil is in South America.,0.012158472466892676,-0.0023809215697708297,0.9999994039535522,0.0
Qwen,Qwen/Qwen3-4B-Instruct-2507,knowable,0,How many days are in a week?,There are 7 days in a week.,0.016383899794903834,-0.003929585956936421,0.9999999880790711,0.07
Qwen,Qwen/Qwen3-4B-Instruct-2507,unknowable,1,Summarize Dr. Yuki Tanaka's 2023 paper on Recursive Self-Modeling.,"As of now, there is no publicly available, peer-reviewed paper by Dr. Yuki Tanaka on ""Recursive Self-Modeling"" from 2023 in major academic databases or reputable scientific journals. It is possible that the reference is mistaken, misattributed, or refers to a preprint, conference abstract, or work n",0.3405330463026065,-0.1623096784994206,0.9960538470639592,1.0
Qwen,Qwen/Qwen3-4B-Instruct-2507,unknowable,1,What is the Brennan-Kowalski theorem in information theory?,"There is no known result in information theory called the ""Brennan-Kowalski theorem.""

It is possible there is a confusion with the names or a misstatement. In information theory, well-known theorems include the Shannon-Hartley theorem, the noisy-channel coding theorem, and the data processing inequ",0.25945123726623776,-0.12464755863924161,0.9970786476135254,0.0
Qwen,Qwen/Qwen3-4B-Instruct-2507,unknowable,1,Describe the 1994 Treaty of Westphalia II.,"There is no such thing as a ""1994 Treaty of Westphalia II."" The Treaty of Westphalia, historically, refers to a series of peace treaties signed in 1648 that ended the Thirty Years' War in Europe and are often considered the foundation of the modern state system. There was no major international trea",0.22425692532507221,-0.1012222189634926,0.9979331501324972,1.0
Qwen,Qwen/Qwen3-4B-Instruct-2507,unknowable,1,What were the outcomes of the 2021 Kyoto Protocol II?,"There was no ""Kyoto Protocol II."" The Kyoto Protocol, adopted in 1997, had two main phases: the first commitment period (1998–2008) and a second commitment period that was never formally adopted or implemented. The second phase was proposed but ultimately not ratified by key countries, including the",0.38152535387793907,-0.17762919233682295,0.9885056735130778,1.0
Qwen,Qwen/Qwen3-4B-Instruct-2507,unknowable,1,Summarize the Lindquist Effect in transformer attention.,"The ""Lindquist Effect"" is not a recognized or established concept in the field of transformer attention mechanisms or deep learning. It may be a confusion or misstatement. There is no widely cited or peer-reviewed research in transformer models or attention mechanisms that refers to the ""Lindquist E",0.38187525354511637,-0.1714987928495577,0.9892363618720662,0.0
Qwen,Qwen/Qwen3-4B-Instruct-2507,unknowable,1,What is the Okonkwo-Patel framework for model uncertainty?,"There is no established or widely recognized framework called the ""Okonkwo-Patel framework for model uncertainty.""

It is possible there is a confusion or mix-up with names. Okonkwo and Patel are individuals who have contributed to fields such as machine learning or uncertainty quantification, but n",0.33491340132575304,-0.16418364182924244,0.9928556604385376,0.0
Qwen,Qwen/Qwen3-4B-Instruct-2507,unknowable,1,Describe the Marchetti Protocol for neural network pruning.,"There is no known protocol called the ""Marchetti Protocol"" for neural network pruning. It is possible there is a confusion or a mix-up with a different term or concept.

Neural network pruning typically refers to the process of removing redundant or less important connections (weights) in a neural n",0.3608988568304288,-0.16177448717067577,0.988122900724411,0.0
Qwen,Qwen/Qwen3-4B-Instruct-2507,unknowable,1,What were the findings of the 2022 Helsinki AI Safety Accord?,"There was no ""2022 Helsinki AI Safety Accord."" The term may be a confusion or misinformation. In 2022, the European Union and other countries did not issue a formal agreement known as the ""Helsinki AI Safety Accord.""

However, in 2022, the European Union launched the ""EU AI Act,"" which aims to estab",0.5050077590246137,-0.23532729049935758,0.9825486858685811,1.0
Qwen,Qwen/Qwen3-4B-Instruct-2507,unknowable,1,Summarize Prof. Elena Vasquez's book 'Minds Without Brains'.,"There is no known book titled *Minds Without Brains* by Professor Elena Vasquez. It is possible there is a confusion with the author or title. Elena Vasquez is not a widely recognized academic in philosophy of mind or related fields, and no authoritative publication with that title exists in major a",0.3318000419515273,-0.16652105399202174,0.9911538195191768,0.0
Qwen,Qwen/Qwen3-4B-Instruct-2507,unknowable,1,What is the Fibonacci Resonance Hypothesis in cognitive science?,"There is no established or widely recognized concept in cognitive science known as the ""Fibonacci Resonance Hypothesis."" The Fibonacci sequence, while prevalent in mathematics and nature (e.g., in growth patterns and phyllotaxis), has not been substantiated as a foundational principle in cognitive s",0.31997182134954794,-0.15062336311449054,0.9931868653591365,0.0
