question_idx,label,type,mean_entropy,max_entropy,entropy_std,mean_logprob,mean_top5_mass,perplexity
28,1,incorrect,1.1951299,4.742984,1.2854408,-2.384690869410847,0.9062007,10.855705261230469
29,0,correct,0.8583764,4.118169,1.0668699,-1.8014665686461022,0.9441275,6.058525562286377
29,1,incorrect,0.6526317,4.1180067,1.0564008,-1.3576412695391893,0.95024645,3.887014150619507
30,0,correct,2.1205087,6.4561005,1.8807969,-3.1373846021306235,0.7854667,23.043516159057617
30,1,incorrect,1.7661598,5.536742,1.7459433,-2.843632639685248,0.81905746,17.178054809570312
31,0,correct,1.1218952,5.211685,1.4114809,-2.0996525522126728,0.90475285,8.16333293914795
31,1,incorrect,1.0277829,5.211685,1.40513,-1.9967451644971075,0.91158587,7.365044593811035
32,0,correct,2.1642942,5.6133537,1.4966913,-4.575253659957333,0.8060831,97.0526351928711
32,1,incorrect,1.9696571,5.6133537,1.5024279,-3.848407885813642,0.82945955,46.91830825805664
33,0,correct,1.3613569,4.52384,1.4246467,-2.8938516147132933,0.88095266,18.062747955322266
33,1,incorrect,1.2736363,4.52384,1.3837785,-3.735203984641266,0.8893961,41.89656066894531
34,0,correct,1.3709047,4.52384,1.2895232,-2.817601523778716,0.883349,16.73666000366211
34,1,incorrect,1.4374633,5.0212865,1.4388206,-2.3442263886425847,0.8748563,10.425206184387207
35,0,correct,1.5886052,6.645833,1.8196545,-2.6089108029560886,0.84325176,13.584246635437012
35,1,incorrect,1.9897587,6.645833,1.8833562,-3.52301462780253,0.8013973,33.886417388916016
36,0,correct,1.742608,7.441046,2.1237092,-3.4993993307515563,0.8355479,33.095558166503906
36,1,incorrect,1.7494392,7.441046,2.1259353,-3.9876109724605664,0.8342856,53.92591094970703
37,0,correct,1.5796373,6.1203356,1.5386394,-3.394603008055128,0.8762909,29.802820205688477
37,1,incorrect,1.6189492,6.1203356,1.5610082,-3.7555015328168673,0.86709297,42.75565719604492
38,0,correct,0.8434788,3.2680922,1.0721757,-2.860062407991427,0.9407388,17.462615966796875
38,1,incorrect,1.0471059,3.2680922,1.0964047,-3.1795388338218533,0.9263418,24.035663604736328
39,0,correct,1.5002254,4.411643,1.3007724,-3.382787730021206,0.88343924,29.452762603759766
39,1,incorrect,1.4312276,4.411643,1.3294358,-2.9610487969525274,0.88857704,19.318222045898438
40,0,correct,1.6228652,6.9728775,1.7824386,-2.598872105980263,0.8438308,13.448561668395996
40,1,incorrect,1.6565332,6.9756765,1.7082739,-3.653107807603874,0.8472414,38.59441375732422
41,0,correct,2.0051184,4.7061567,1.2861776,-4.148206314513166,0.82635355,63.320316314697266
41,1,incorrect,1.5182339,3.8555884,1.0588257,-3.4715922640636565,0.89599335,32.187957763671875
42,0,correct,1.9603353,7.101081,1.6682352,-3.8927167080165375,0.8195074,49.04395294189453
42,1,incorrect,1.7405976,7.101081,1.6859009,-3.0729595135958516,0.83424795,21.605754852294922
43,0,correct,1.5970277,4.1302795,1.2431569,-3.0347651775480937,0.859232,20.79609489440918
43,1,incorrect,1.539913,4.1302795,1.2381656,-2.7591159298608545,0.8651538,15.785881042480469
44,0,correct,1.9673308,7.078652,1.7280679,-2.3947734080052383,0.8088325,10.965713500976562
44,1,incorrect,1.9267032,7.078652,1.7142025,-2.218428978357614,0.8179077,9.192878723144531
45,0,correct,2.0761607,5.055588,1.4159387,-3.1797420536944023,0.7961456,24.04055404663086
45,1,incorrect,2.1313381,5.055588,1.4100121,-3.1517382659949362,0.78546923,23.37666130065918
46,0,correct,1.5871916,6.8950896,1.5190127,-2.3377141585617665,0.8588751,10.357534408569336
46,1,incorrect,1.9122293,6.8950896,1.5671482,-3.083931826543202,0.82771873,21.84412384033203
47,0,correct,1.9297055,7.0310087,1.8400526,-2.625023884092586,0.80489385,13.804903984069824
47,1,incorrect,1.9009794,7.0310087,1.8902632,-2.303313424210064,0.80254054,10.007284164428711
48,0,correct,1.512483,6.2230816,1.5975125,-2.5649145142401033,0.8699784,12.999549865722656
48,1,incorrect,1.4894136,6.2230816,1.5659069,-2.8592897266943886,0.87397605,17.449129104614258
49,0,correct,1.798992,4.645318,1.270005,-2.8011470414930955,0.8319126,16.463518142700195
49,1,incorrect,1.8398604,4.645318,1.0854901,-2.4925302813786105,0.8457928,12.09183120727539
50,0,correct,1.6463194,6.4732723,1.5105107,-2.5488082551970503,0.8583886,12.791848182678223
50,1,incorrect,1.9077616,6.4732723,1.5737243,-3.5430268596269583,0.83366174,34.57139587402344
51,0,correct,1.7872018,5.7313356,1.397064,-3.031933499783328,0.8385765,20.737289428710938
51,1,incorrect,1.9582283,5.7248173,1.4732378,-3.6514337712958937,0.80979437,38.52986526489258
52,0,correct,1.7283901,4.52384,1.3763583,-3.2623820872774916,0.84565216,26.11166763305664
52,1,incorrect,1.6943655,4.52384,1.3437989,-2.9563320592936613,0.85881525,19.22731590270996
53,0,correct,2.6132526,6.756613,2.0154743,-2.980295253248187,0.7065215,19.693628311157227
53,1,incorrect,2.3600492,6.756613,1.8341053,-2.2527964359504127,0.75970167,9.514304161071777
54,0,correct,1.372961,5.122182,1.3879694,-3.0185193019800676,0.8838949,20.460975646972656
54,1,incorrect,1.3375806,5.122182,1.288365,-2.677939208309399,0.88683903,14.55506706237793
55,0,correct,1.486143,4.8651147,1.421957,-3.470782298659906,0.8700694,32.16189193725586
55,1,incorrect,1.6949966,4.8651147,1.4917953,-3.5863961285371757,0.83123225,36.103729248046875
56,0,correct,1.5798931,5.3487577,1.2342072,-3.130414239495345,0.8684897,22.88345718383789
56,1,incorrect,1.725717,5.3487577,1.4492216,-2.9519162531132284,0.84422976,19.14259910583496
57,0,correct,1.7544159,6.2492886,1.6561407,-3.950678234661205,0.8372162,51.970619201660156
57,1,incorrect,1.6447493,6.2492886,1.6314158,-3.037389458331745,0.8432005,20.850736618041992
58,0,correct,1.3479993,3.3579202,1.0238143,-2.6202973646577448,0.9003353,13.73980712890625
58,1,incorrect,1.3486927,3.3579202,1.0239764,-2.8585786116775127,0.90063787,17.436721801757812
59,0,correct,1.4359998,5.7760444,1.5249356,-3.2498675229096468,0.8682405,25.786922454833984
59,1,incorrect,1.51661,5.7775292,1.6738437,-2.84626862203219,0.85424846,17.223386764526367
60,0,correct,1.542706,4.4531817,1.3382185,-2.8468681690258317,0.86457014,17.233722686767578
60,1,incorrect,2.2362485,4.4531817,1.3367714,-4.289547500549816,0.77600944,72.93345642089844
61,0,correct,1.4540163,3.710504,1.1284717,-5.014919000248866,0.88898706,150.6439666748047
61,1,incorrect,0.845845,3.710504,0.9020229,-2.8358566200947584,0.9514405,17.04499626159668
62,0,correct,1.747292,4.6199555,1.1914482,-3.0263551978789494,0.86831814,20.62193489074707
62,1,incorrect,1.8989134,4.6218405,1.3623828,-4.0316813704481795,0.8403147,56.355567932128906
63,0,correct,1.5966564,5.3961077,1.5573328,-3.754614789420157,0.85928774,42.717750549316406
63,1,incorrect,1.0983739,5.3961077,1.4519415,-2.445534768096855,0.9057994,11.536717414855957
64,0,correct,1.685397,4.558179,1.1888503,-3.609384959079325,0.87193733,36.94331741333008
64,1,incorrect,1.7004088,4.558179,1.3309916,-3.0815964371643285,0.85582167,21.79316520690918
65,0,correct,1.5698304,4.4292517,1.3562851,-2.470349177233875,0.86333454,11.826574325561523
65,1,incorrect,1.6173445,4.4292517,1.2676598,-2.8405606408562996,0.8580761,17.125364303588867
66,0,correct,2.0202081,6.6705494,1.7729199,-3.4048647556919605,0.78689885,30.11021614074707
66,1,incorrect,1.8765152,6.6705494,1.9506145,-3.131117329810207,0.8005732,22.899553298950195
67,0,correct,1.8598547,3.7079775,1.1984016,-3.3731623818166554,0.8378147,29.170635223388672
67,1,incorrect,1.9718964,3.7079775,1.0977743,-4.032328354505201,0.82469314,56.39204788208008
68,0,correct,1.668117,5.5760555,1.4514164,-2.652054007132538,0.8681119,14.183138847351074
68,1,incorrect,1.6314156,5.5760555,1.549264,-2.51788262938256,0.85568726,12.402307510375977
69,0,correct,2.027528,6.228837,1.54685,-3.825317921442911,0.8129616,45.847381591796875
69,1,incorrect,1.9799837,6.228837,1.5423437,-2.9549211980309336,0.82094395,19.200210571289062
70,0,correct,2.3338442,6.395879,1.704724,-4.16768248575767,0.7658425,64.56565856933594
70,1,incorrect,1.4722743,6.395879,1.6663804,-2.6941848457593007,0.8595428,14.793453216552734
71,0,correct,2.1384122,5.0616264,1.4662285,-4.152416885639965,0.78339577,63.587486267089844
71,1,incorrect,1.7447635,5.0616264,1.560447,-3.488482043033,0.8253461,32.7362174987793
72,0,correct,1.4578557,3.5511823,1.1906257,-4.067632445544704,0.8849416,58.41850662231445
72,1,incorrect,1.4861555,3.5511823,1.0799968,-4.580045040827827,0.89204836,97.518798828125
73,0,correct,1.043855,4.283023,1.1705438,-2.8849831927291234,0.92317367,17.90326499938965
73,1,incorrect,1.0723705,4.283023,1.132229,-2.848743517554831,0.9233595,17.266077041625977
74,0,correct,1.6537533,6.505245,1.6419519,-3.1270227170815423,0.8592151,22.805984497070312
74,1,incorrect,2.0550363,6.505245,1.7701774,-3.0050721941344603,0.8101406,20.187671661376953
75,0,correct,2.0206587,5.954461,1.6942741,-2.501158067647204,0.8184121,12.196609497070312
75,1,incorrect,1.6954125,5.9562006,1.7186857,-1.8449887597895656,0.84952945,6.328029632568359
76,0,correct,1.6724637,3.8672364,1.2549634,-3.50902989510602,0.85378695,33.415836334228516
76,1,incorrect,1.9544011,3.8672364,1.2683678,-3.8853248875238933,0.8200315,48.682762145996094
77,0,correct,1.7857062,6.545431,1.798999,-2.2594100178733547,0.83147955,9.577435493469238
77,1,incorrect,2.1816227,6.545431,1.6251296,-2.440566693518863,0.7815033,11.47954273223877
78,0,correct,2.111452,5.775277,1.4010962,-3.023595027399786,0.7889712,20.565092086791992
78,1,incorrect,2.0645525,5.774125,1.408588,-3.32406651849548,0.8019987,27.7730655670166
79,0,correct,1.410494,6.1009803,1.6046044,-3.3329304365050207,0.8982451,28.02033233642578
79,1,incorrect,1.281372,6.1009803,1.615544,-2.8594635439142375,0.90301305,17.452165603637695
80,0,correct,2.5340211,5.6259127,1.4893532,-4.287783034145832,0.7347818,72.80489349365234
80,1,incorrect,2.2443998,5.6259127,1.5787182,-3.8165276190654063,0.76777846,45.44612503051758
81,0,correct,1.6147863,4.8390036,1.2255123,-3.0715586447902026,0.85349786,21.575502395629883
81,1,incorrect,1.8237743,4.8390036,1.2801007,-4.2685048047555725,0.81964564,71.41476440429688
82,0,correct,2.223302,6.287007,1.4699793,-3.4398359388966733,0.7897636,31.18183708190918
82,1,incorrect,2.263335,6.287007,1.5423496,-3.5640338950426034,0.7735221,35.30532455444336
83,0,correct,2.0592372,4.68486,1.4426767,-4.081695330189541,0.8061582,59.2458381652832
83,1,incorrect,1.8907493,4.68486,1.4417357,-3.383191667154039,0.83301735,29.464672088623047
84,0,correct,1.5557328,7.038451,1.6120245,-2.97604639101822,0.8656663,19.610132217407227
84,1,incorrect,1.5169878,7.038451,1.6030519,-3.1681572464608156,0.86942166,23.76365089416504
85,0,correct,1.1768913,3.2025397,0.9746747,-3.0507019028078677,0.912254,21.13017463684082
85,1,incorrect,1.4340916,3.2025397,0.9767597,-3.1610135708993767,0.89001584,23.594501495361328
86,0,correct,1.5960218,4.5013533,1.3128407,-3.9278642390078553,0.8750499,50.798362731933594
86,1,incorrect,1.9135648,5.603339,1.779633,-4.321917127801296,0.812963,75.3329086303711
87,0,correct,2.3060267,7.607424,2.1280313,-5.172966915661366,0.7767512,176.4375457763672
87,1,incorrect,2.2008038,7.607424,1.9897257,-3.0500977495327017,0.7950887,21.117403030395508
88,0,correct,1.4890931,3.580809,1.121607,-3.3389260866924335,0.8821111,28.1888427734375
88,1,incorrect,1.8364445,3.580809,1.0581865,-3.4654851439926357,0.8485923,31.991973876953125
89,0,correct,1.8566034,4.953808,1.4306101,-4.291465971605195,0.835274,73.07353210449219
89,1,incorrect,1.9604234,4.953808,1.3762047,-5.004359795766718,0.818999,149.06161499023438
90,0,correct,1.6601696,4.8011026,1.4109818,-3.4766976058103696,0.86285007,32.35270690917969
90,1,incorrect,1.5668133,4.7982297,1.3832313,-3.1620382623150363,0.870271,23.618690490722656
91,0,correct,1.8137558,6.820486,1.5208286,-3.090384774508753,0.84563977,21.985538482666016
91,1,incorrect,1.7250513,6.820486,1.47198,-3.1370119539161143,0.8545326,23.034936904907227
92,0,correct,2.0976682,5.6673536,1.561629,-3.5711874806491744,0.8045429,35.55879211425781
92,1,incorrect,2.2186458,5.1881313,1.462297,-3.1322859959521643,0.78433645,22.92633056640625
93,0,correct,1.6311923,6.4732723,1.523716,-2.309737141387394,0.8578018,10.07177734375
93,1,incorrect,1.8578383,6.4732723,1.4995098,-2.555672589728298,0.829581,12.879960060119629
94,0,correct,2.1368153,5.8621073,1.455454,-3.604581187675266,0.80020744,36.76628875732422
94,1,incorrect,2.0700629,5.8621073,1.5485575,-3.7324062927163184,0.80509776,41.77951431274414
95,0,correct,1.095428,3.9809394,1.2956865,-3.2711709343345015,0.9080325,26.342164993286133
95,1,incorrect,1.0606278,3.9809394,1.2831173,-2.8184781559804106,0.91186595,16.7513370513916
96,0,correct,1.428546,6.0099964,1.6016414,-2.6102309195590974,0.86960524,13.602195739746094
96,1,incorrect,2.1353648,6.0099964,1.4571786,-3.8135897782628057,0.7994961,45.31282043457031
97,0,correct,2.7403243,7.1470184,2.2219014,-5.771720949601876,0.7424061,321.0898132324219
97,1,incorrect,2.1069546,7.1470184,2.0738158,-4.41165745178605,0.80246115,82.40596771240234
98,0,correct,1.4327338,4.419551,1.3784423,-4.347475664334043,0.86807775,77.28315734863281
98,1,incorrect,1.4385647,4.419551,1.396976,-4.288861692883074,0.8619157,72.88346099853516
99,0,correct,1.3594674,4.1679244,0.97289544,-3.960403321126219,0.90093243,52.47849655151367
99,1,incorrect,1.3588381,4.1679244,1.0869248,-3.685523650431803,0.8975234,39.865997314453125
100,0,correct,1.5132515,4.06028,1.3481525,-2.0302724272187334,0.87022996,7.616161346435547
100,1,incorrect,1.5544057,4.06028,1.307772,-2.166454770930988,0.86922556,8.727290153503418
101,0,correct,1.7686688,4.738138,1.4822087,-2.5880979986240464,0.8535793,13.304439544677734
101,1,incorrect,1.963475,4.7421684,1.4073294,-2.754193497156458,0.8276213,15.708368301391602
102,0,correct,1.5576727,6.543678,1.7592399,-2.251623038793332,0.8593713,9.503148078918457
102,1,incorrect,2.0819268,6.5465536,1.8917383,-3.375946121597995,0.79276675,29.25194549560547
103,0,correct,1.504339,4.3469505,1.2031859,-2.440528303006431,0.87916493,11.479104995727539
103,1,incorrect,1.6600661,4.346653,1.2179443,-2.4827138177518333,0.856783,11.973715782165527
104,0,correct,1.708693,4.081395,1.3238894,-3.817615684121847,0.8539502,45.4956169128418
104,1,incorrect,2.0536816,4.0828376,1.300186,-3.156163995082562,0.819192,23.4803524017334
105,0,correct,1.8119453,6.578463,1.8179376,-3.4712441325176595,0.82654935,32.17675018310547
105,1,incorrect,2.0081475,6.578463,1.7918435,-3.0167000862849433,0.8095414,20.423782348632812
106,0,correct,1.6332012,6.228837,1.3698002,-3.130515093237839,0.870422,22.885765075683594
106,1,incorrect,1.8496807,6.228837,1.477056,-3.081134234968987,0.83123946,21.783096313476562
107,0,correct,1.5885257,4.0361786,1.3450552,-2.406788258716309,0.8523477,11.098259925842285
107,1,incorrect,1.8349777,4.0361786,1.3526107,-3.8238746515390547,0.82463866,45.781253814697266
108,0,correct,1.5383962,3.9809394,1.2760782,-5.651726525463164,0.87574404,284.7828063964844
108,1,incorrect,2.5703342,4.162781,1.2508258,-4.604242521027724,0.74609596,99.90729522705078
109,0,correct,2.4120843,5.6874347,1.4882323,-4.279248172151191,0.764968,72.18614959716797
109,1,incorrect,1.9109441,5.6914043,1.5955898,-2.656217186090847,0.82127845,14.242314338684082
110,0,correct,2.487567,4.894306,1.315137,-3.8875019874642875,0.7410802,48.788856506347656
110,1,incorrect,1.9026036,4.894306,1.2516882,-3.0821188565875803,0.8213215,21.80455207824707
111,0,correct,1.7139835,4.9829726,1.5506815,-3.797479040756383,0.837223,44.58864212036133
111,1,incorrect,1.3321171,4.9829726,1.4839841,-1.9849382784804734,0.88180447,7.278598308563232
112,0,correct,1.4467161,3.3553944,1.0070225,-4.472814160548816,0.89101696,87.60289764404297
112,1,incorrect,1.4903612,3.495392,1.1233279,-3.4147241830230795,0.8646496,30.408559799194336
113,0,correct,1.5587878,6.228837,1.4415761,-2.674237745953724,0.876799,14.501288414001465
113,1,incorrect,1.6591282,6.228837,1.4126524,-2.9427171860307713,0.8714028,18.96731185913086
114,0,correct,0.7965763,3.2025397,0.90330654,-2.7329596226571833,0.94546384,15.378335952758789
114,1,incorrect,0.8094432,3.2025397,0.9220135,-3.4067496357922664,0.94250846,30.167034149169922
115,0,correct,1.2807505,4.790831,1.3162373,-3.6193597795503782,0.89818513,37.313663482666016
115,1,incorrect,0.94616526,4.790831,1.2126061,-2.181657128834626,0.927945,8.860977172851562
116,0,correct,1.0241569,3.7538757,1.1370707,-2.0714775996874897,0.92850417,7.936541557312012
116,1,incorrect,0.94735557,3.7538757,1.136714,-1.8244482026851843,0.93174314,6.199373722076416
117,0,correct,1.1615491,3.2025397,1.1164998,-2.0787499583255507,0.9127418,7.994468688964844
117,1,incorrect,1.1189353,3.2025397,1.0797015,-1.9167481687272083,0.9214471,6.798814296722412
118,0,correct,1.5634096,4.5733867,1.3899419,-3.1762934729405163,0.8752726,23.95778465270996
118,1,incorrect,1.7158376,4.5733867,1.3553977,-3.2523753601643772,0.8487754,25.851675033569336
119,0,correct,1.4346623,4.9801316,1.3084196,-2.4600173028651624,0.8847394,11.705016136169434
119,1,incorrect,1.4322615,4.9801316,1.2784226,-2.262616008964621,0.88490754,9.608190536499023
120,0,correct,1.3577988,3.9668617,1.0978225,-2.9443366036543415,0.9049289,18.99806022644043
120,1,incorrect,1.2660617,3.9668617,1.164379,-2.9414919248851623,0.90691036,18.9440860748291
121,0,correct,1.5655313,4.925088,1.531333,-3.137895432859659,0.85842085,23.055299758911133
121,1,incorrect,2.1298614,5.4129634,1.5334207,-2.5418886307135993,0.80546886,12.703641891479492
122,0,correct,1.8620008,5.8107424,1.7971005,-2.954849702838692,0.82994854,19.198837280273438
122,1,incorrect,2.0443804,5.8168015,1.6477569,-3.4590004637618277,0.8088558,31.785194396972656
123,0,correct,1.6175232,4.5409665,0.9907726,-2.7119663432240486,0.87212354,15.058856964111328
123,1,incorrect,1.5916785,4.5409665,0.9554714,-2.5373782181739806,0.87293535,12.646472930908203
124,0,correct,1.0265033,3.2025397,0.7878332,-3.271417658426799,0.9423274,26.348665237426758
124,1,incorrect,0.995408,3.2025397,0.87174445,-2.685775575493204,0.936996,14.669573783874512
125,0,correct,2.137574,5.159378,1.1407347,-4.1236359311474695,0.813814,61.78349304199219
125,1,incorrect,2.2959883,6.1518416,1.5291704,-3.283478766772896,0.7881477,26.66838836669922
126,0,correct,1.4468529,5.580284,1.5976723,-1.7940401941212258,0.868054,6.013700485229492
126,1,incorrect,1.4178766,5.580284,1.5945921,-1.737334921308857,0.87034506,5.6821794509887695
127,0,correct,1.6296822,4.9829726,1.2433724,-4.106158062942665,0.8656879,60.7130241394043
127,1,incorrect,1.1228554,4.980339,1.2146199,-2.198534900585373,0.9116314,9.01180362701416
128,0,correct,1.0128312,5.6072474,1.3882167,-1.3859443406814496,0.9083573,3.998600721359253
128,1,incorrect,1.2185695,5.6091127,1.4207255,-1.6706653603470614,0.8918016,5.315703392028809
129,0,correct,1.1886603,4.9200583,1.458191,-1.5814034545599343,0.8923006,4.861774444580078
129,1,incorrect,1.1580775,4.9200583,1.450757,-1.574296768590073,0.89497674,4.827346324920654
130,0,correct,0.9327476,4.5204954,1.1119125,-1.8201274039966393,0.9289803,6.172645568847656
130,1,incorrect,0.98255044,4.5204954,1.1195818,-1.7445867072896455,0.92682266,5.723536014556885
131,0,correct,1.4459865,4.9200583,1.4564654,-2.3892343110110232,0.87064695,10.90513801574707
131,1,incorrect,1.4322355,4.9200583,1.4738301,-2.5409799115002443,0.869639,12.69210147857666
132,0,correct,1.4701084,7.2131233,1.7100322,-2.016516417348612,0.8628697,7.512110710144043
132,1,incorrect,1.4994073,7.2131233,1.7324579,-1.814692060206901,0.85893023,6.139184951782227
133,0,correct,1.1873512,4.52384,1.3352643,-2.364234627683141,0.89601266,10.635895729064941
133,1,incorrect,1.2495832,4.52384,1.3299595,-2.860022224929977,0.8907674,17.461917877197266
134,0,correct,0.9867212,4.5204954,1.1442192,-2.5520816263118022,0.926092,12.833791732788086
134,1,incorrect,0.99189377,4.5204954,1.1444938,-2.3238299500101034,0.9260286,10.214720726013184
135,0,correct,0.8029104,4.5204954,1.0790133,-1.556566096122765,0.93857175,4.7425079345703125
135,1,incorrect,0.78277487,4.5204954,1.0683948,-1.446921540268113,0.94124043,4.250011444091797
136,0,correct,1.9564221,5.3203306,1.5214111,-2.948361170340583,0.80986446,19.07466697692871
136,1,incorrect,1.9483924,5.3203306,1.5471822,-2.9321314511000223,0.81839603,18.76759147644043
137,0,correct,2.2633286,6.886925,1.8744545,-4.358210888347744,0.7752359,78.11726379394531
137,1,incorrect,1.712054,6.886925,1.819842,-2.2815302139178026,0.8386412,9.791654586791992
138,0,correct,1.7933233,5.5689306,1.5308899,-3.009156344084793,0.8297096,20.270296096801758
138,1,incorrect,1.6539395,5.5689306,1.5327296,-2.692776165648044,0.8453349,14.77263069152832
139,0,correct,1.7911204,6.171341,1.6948138,-2.8185844621171285,0.8149139,16.75311851501465
139,1,incorrect,1.79374,6.171341,1.609543,-2.454163822501538,0.82282996,11.636699676513672
140,0,correct,1.6993564,7.5940514,1.876603,-3.98680760519069,0.85231805,53.882598876953125
140,1,incorrect,1.8328958,7.5940514,1.9473877,-3.974014802913492,0.8315616,53.197689056396484
141,0,correct,1.6386101,4.4711466,1.4220091,-3.4032920110408305,0.8443312,30.062910079956055
141,1,incorrect,1.4132267,4.4711466,1.4442449,-3.5872803415661663,0.86649054,36.13566207885742
